"ID" "disk"
100307 1
100408 1
101006 1
101107 1
101309 1
101410 1
101915 1
102008 1
102311 1
102816 1
103111 1
103515 1
103818 1
105014 1
105115 1
105216 1
106016 1
106521 1
107321 1
107422 1
108121 1
108323 1
108525 1
108828 1
109123 1
109325 1
110411 1
111312 1
111413 1
111716 1
113215 1
113922 1
114419 1
114924 1
115320 1
116524 1
117122 1
117324 1
118528 1
118730 1
118932 1
119833 1
120212 1
120515 1
121618 1
122317 1
122620 1
123117 1
123420 1
123925 1
124220 1
125525 1
126325 1
126628 1
127630 1
127933 1
128127 1
128632 1
129028 1
130013 1
130316 1
131217 1
131722 1
133019 1
133827 1
133928 1
134324 1
135225 1
135528 1
136227 1
136833 1
137027 1
138534 1
139233 1
139637 1
140925 2
144832 2
146432 2
147030 2
147737 2
148335 2
148840 2
148941 2
149741 2
150423 2
150726 2
151223 2
151526 2
151627 2
151728 2
153833 2
154734 2
154835 2
154936 2
155231 2
156233 2
156637 2
157437 2
158136 2
159138 2
159239 2
159340 2
159441 2
160830 2
161630 2
162228 2
162733 2
163331 2
163432 2
164030 2
164131 2
164939 2
167036 2
167743 2
168139 2
168341 2
169444 2
170934 2
172029 2
172332 2
172534 2
172938 2
173435 2
173940 2
176542 2
177645 2
178142 2
178849 2
178950 2
180129 3
180432 3
181232 3
182739 3
185442 3
186141 3
187143 3
189349 3
189450 3
190031 3
191033 3
192540 3
195041 3
196750 3
197550 3
198451 3
198855 3
199655 3
199958 3
200614 3
201818 3
203418 3
204016 3
208226 3
210011 3
212217 3
212318 3
214423 3
231928 3
239944 3
245333 3
285446 4
290136 4
304020 4
308331 4
310621 4
316633 4
361941 4
397760 4
414229 4
465852 4
480141 4
486759 4
547046 4
552544 4
592455 4
622236 4
679568 5
715041 5
749361 5
753251 5
771354 5
782561 5
837560 5
845458 5
849971 5
871964 5
